city,county,crashday,crashhour,crashloc,crashmonth,crashsevr,crashtype,development,drvrinjury,latitude,longitude,pedinjury,pedpos,rdclass,rdconfig,drvragegrp
Charlotte,Mecklenburg,Wednesday,8,Non-Intersection,May,C: Possible Injury,Dash,Residential,O: No Injury,35.25096176,-80.74340261,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
None - Rural Crash,Surry,Monday,10,Non-Intersection,May,C: Possible Injury,Other Unusual Circumstances,Farms: Woods: Pastures,O: No Injury,36.29384323,-80.81408811,C: Possible Injury,Travel Lane,Interstate,Two-Way: Divided: Positive Median Barrier,70+
Winston-Salem,Forsyth,Saturday,5,Non-Intersection,May,B: Suspected Minor Injury,Walking Along Roadway With Traffic - From Behind,Residential,O: No Injury,36.17980085,-80.28468994,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,50-59
Salisbury,Rowan,Friday,22,Non-Intersection,May,C: Possible Injury,Dash,Commercial,O: No Injury,35.64302942,-80.48223336,C: Possible Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,60-69
Charlotte,Mecklenburg,Monday,17,Intersection,July,O: No Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,35.20196994,-80.84484894,O: No Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,20-24
Reidsville,Rockingham,Friday,9,Non-Roadway,June,O: No Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,36.35597754,-79.66396057,O: No Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,40-49
Durham,Durham,Monday,7,Non-Intersection,July,B: Suspected Minor Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.96776604,-78.94185643,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
None - Rural Crash,Davie,Tuesday,20,Non-Intersection,May,B: Suspected Minor Injury,Driverless Vehicle,Farms: Woods: Pastures,Unknown Injury,36.000495,-80.426755,B: Suspected Minor Injury,Travel Lane,Interstate,Two-Way: Divided: Positive Median Barrier,Unknown
None - Rural Crash,Cumberland,Thursday,22,Non-Intersection,July,K: Killed,Walking Along Roadway With Traffic - From Behind,Residential,O: No Injury,34.97762005,-78.98783977,K: Killed,Other / Unknown,State Secondary Route,Two-Way: Not Divided,50-59
Eden,Rockingham,Monday,4,Non-Roadway,May,C: Possible Injury,Dispute-Related,Residential,Unknown Injury,36.52138602,-79.74946468,C: Possible Injury,Driveway / Alley,Public Vehicular Area,Two-Way: Not Divided,40-49
Boone,Watauga,Wednesday,12,Intersection,July,C: Possible Injury,Motor Vehicle Loss of Control,Commercial,O: No Injury,36.21641661,-81.67035623,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,70+
Raleigh,Wake,Monday,17,Non-Roadway,July,B: Suspected Minor Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.80034433,-78.56127253,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,70+
